tok	sentstart	indirect_conf	indirect_pred
Der	yes	0.9777827858924866	x
Sandmann	no	0.9857546091079712	x
Nathanael	no	0.9932655096054077	x
an	no	0.9696699380874634	x
Lothar	no	0.9706474542617798	x
Gewiß	no	0.9980408549308777	x
seid	no	0.9930312633514404	x
Ihr	no	0.9948264956474304	x
alle	no	0.9919075965881348	x
voll	no	0.9938104748725891	x
Unruhe	no	0.9952045679092407	x
,	no	0.9999128580093384	x
daß	no	0.8900753855705261	x
ich	no	0.8266873955726624	x
so	no	0.69889897108078	x
lange	no	0.5034142732620239	x
–	no	0.7797635793685913	x
lange	no	0.7841881513595581	x
nicht	no	0.8884214758872986	x
geschrieben	no	0.8557027578353882	x
.	no	0.8899381756782532	x
Mutter	yes	0.9269120693206787	x
zürnt	no	0.9938446283340454	x
wohl	no	0.942693293094635	x
,	no	0.9999856948852539	x
und	no	0.9856079816818237	x
Klara	no	0.9959631562232971	x
mag	no	0.9970929622650146	x
glauben	no	0.9987145662307739	x
,	no	0.9999796152114868	x
ich	no	0.4741863012313843	indirect
lebe	no	0.929402232170105	indirect
hier	no	0.9888455271720886	indirect
in	no	0.9883313775062561	indirect
Saus	no	0.9938994646072388	indirect
und	no	0.9924553632736206	indirect
Braus	no	0.999733030796051	indirect
und	no	0.9659479856491089	indirect
vergesse	no	0.9719842672348022	indirect
mein	no	0.975140392780304	indirect
holdes	no	0.9901103377342224	indirect
Engelsbild	no	0.999297022819519	indirect
,	no	0.9186547994613647	indirect
so	no	0.9561732411384583	indirect
tief	no	0.9709860682487488	indirect
mir	no	0.9700933694839478	indirect
in	no	0.9771682024002075	indirect
Herz	no	0.9835407137870789	indirect
und	no	0.9754649996757507	indirect
Sinn	no	0.9803631901741028	indirect
eingeprägt	no	0.9964796900749207	indirect
,	no	0.5828410387039185	indirect
ganz	no	0.9409483075141907	indirect
und	no	0.9424127340316772	indirect
gar	no	0.9083114862442017	indirect
.	no	0.9860008358955383	indirect
–	yes	0.9628527164459229	x
Dem	no	0.9980649352073669	x
ist	no	0.9989138841629028	x
aber	no	0.9988288283348083	x
nicht	no	0.9978628754615784	x
so	no	0.9907099008560181	x
;	no	0.9999855756759644	x
täglich	no	0.9086545705795288	x
und	no	0.9201663136482239	x
stündlich	no	0.996105968952179	x
gedenke	no	0.9998692274093628	x
ich	no	0.9995250701904297	x
Eurer	no	0.8474501371383667	x
aller	no	0.5847444534301758	x
,	no	0.998333752155304	x
und	no	0.9806357026100159	x
in	no	0.9679422974586487	x
süßen	no	0.9795764684677124	x
Träumen	no	0.9934952855110168	x
geht	no	0.9613011479377747	x
meines	no	0.9726012349128723	x
holden	no	0.9681228995323181	x
Klärchens	no	0.9601381421089172	x
freundliche	no	0.9388357400894165	x
Gestalt	no	0.8955680727958679	x
vorüber	no	0.655098021030426	x
und	no	0.9820058345794678	x
lächelt	no	0.9745967984199524	x
mich	no	0.991036057472229	x
mit	no	0.9903603792190552	x
ihren	no	0.9925066828727722	x
hellen	no	0.9938201308250427	x
Augen	no	0.9956934452056885	x
so	no	0.9957616925239563	x
anmutig	no	0.9934223294258118	x
an	no	0.9647595286369324	x
,	no	0.9999394416809082	x
wie	no	0.9848312139511108	x
sie	no	0.9939861297607422	x
wohl	no	0.9971708655357361	x
pflegte	no	0.9889159202575684	x
,	no	0.9997406601905823	x
wenn	no	0.9552384614944458	x
ich	no	0.9846068620681763	x
zu	no	0.9847057461738586	x
Euch	no	0.9946261048316956	x
hineintrat	no	0.9961404204368591	x
.	no	0.9598107933998108	x
–	yes	0.9999855756759644	x
Ach	no	0.9777104258537292	x
,	no	0.9999822378158569	x
wie	no	0.9929603934288025	x
vermochte	no	0.9991288781166077	x
ich	no	0.9995691180229187	x
denn	no	0.9944583177566528	x
Euch	no	0.9975157976150513	x
zu	no	0.994992196559906	x
schreiben	no	0.9963550567626953	x
in	no	0.9933363199234009	x
der	no	0.9918639659881592	x
zerrissenen	no	0.9948797225952148	x
Stimmung	no	0.9948055148124695	x
des	no	0.9963259100914001	x
Geistes	no	0.9958369731903076	x
,	no	0.9991950392723083	x
die	no	0.9805481433868408	x
mir	no	0.9887986779212952	x
bisher	no	0.9941532015800476	x
alle	no	0.9959995746612549	x
Gedanken	no	0.9971311092376709	x
verstörte	no	0.9943866729736328	x
!	no	0.953777015209198	x
–	yes	0.9993312358856201	x
Etwas	no	0.9989840388298035	x
Entsetzliches	no	0.9992941617965698	x
ist	no	0.9925703406333923	x
in	no	0.9877718687057495	x
mein	no	0.990693986415863	x
Leben	no	0.9935498833656311	x
getreten	no	0.996772825717926	x
!	no	0.998139500617981	x
–	yes	0.9916973114013672	x
Dunkle	no	0.997858464717865	x
Ahnungen	no	0.9979894161224365	x
eines	no	0.9766740798950195	x
gräßlichen	no	0.9853126406669617	x
,	no	0.9985581040382385	x
mir	no	0.9794643521308899	x
drohenden	no	0.9917094111442566	x
Geschicks	no	0.9945666790008545	x
breiten	no	0.9931736588478088	x
sich	no	0.990858256816864	x
wie	no	0.9935324192047119	x
schwarze	no	0.9938702583312988	x
Wolkenschatten	no	0.9968568086624146	x
über	no	0.9948129653930664	x
mich	no	0.9944300055503845	x
aus	no	0.9956771731376648	x
,	no	0.9992984533309937	x
undurchdringlich	no	0.9801218509674072	x
jedem	no	0.9830066561698914	x
freundlichen	no	0.9912511110305786	x
Sonnenstrahl	no	0.9933832287788391	x
.	no	0.9883216023445129	x
–	yes	0.9997628331184387	x
Nun	no	0.9643237590789795	x
soll	no	0.9539270997047424	x
ich	no	0.9988895058631897	x
Dir	no	0.9992503523826599	x
sagen	no	0.9966366291046143	x
,	no	0.9999818801879883	x
was	no	0.538010835647583	indirect
mir	no	0.895591676235199	indirect
widerfuhr	no	0.9764259457588196	indirect
.	no	0.9998658895492554	indirect
Ich	yes	0.9913296699523926	x
muß	no	0.9852240085601807	x
es	no	0.8764846324920654	x
,	no	0.9999946355819702	x
das	no	0.9256332516670227	x
sehe	no	0.989617645740509	x
ich	no	0.9997575879096985	x
ein	no	0.9970476031303406	x
,	no	0.9999767541885376	x
aber	no	0.9030249714851379	x
nur	no	0.8401186466217041	x
es	no	0.9463142156600952	x
denkend	no	0.814308762550354	x
,	no	0.9999719858169556	x
lacht	no	0.8763270378112793	x
es	no	0.8295319080352783	x
wie	no	0.8824903964996338	x
toll	no	0.8284032940864563	x
aus	no	0.8731356263160706	x
mir	no	0.8043771386146545	x
heraus	no	0.7078479528427124	x
.	no	0.9758982062339783	x
–	yes	0.9957361221313477	x
Ach	no	0.9977781176567078	x
mein	no	0.9982335567474365	x
herzlieber	no	0.9955772161483765	x
Lothar	no	0.9999065399169922	x
!	no	0.9999611377716064	x
wie	yes	0.8490244746208191	x
fange	no	0.9807432889938354	x
ich	no	0.9994805455207825	x
es	no	0.9977849125862122	x
denn	no	0.9973681569099426	x
an	no	0.996996283531189	x
,	no	0.9998347759246826	x
Dich	no	0.9236577749252319	x
nur	no	0.941719114780426	x
einigermaßen	no	0.9831458926200867	x
empfinden	no	0.9943081736564636	x
zu	no	0.988237202167511	x
lassen	no	0.8755788803100586	x
,	no	0.9999035596847534	x
daß	no	0.827686071395874	x
das	no	0.9133398532867432	x
,	no	0.9634142518043518	x
was	no	0.9135906100273132	x
mir	no	0.9198660254478455	x
vor	no	0.9457264542579651	x
einigen	no	0.970541775226593	x
Tagen	no	0.9574337005615234	x
geschah	no	0.536653995513916	x
,	no	0.9987264275550842	x
denn	no	0.9827345013618469	x
wirklich	no	0.9875512719154358	x
mein	no	0.9816660284996033	x
Leben	no	0.9670234322547913	x
so	no	0.9618729948997498	x
feindlich	no	0.9794670343399048	x
zerstören	no	0.9879319071769714	x
konnte	no	0.9829419851303101	x
!	no	0.9813582301139832	x
Wärst	yes	0.9870620369911194	x
Du	no	0.9980560541152954	x
nur	no	0.9944602251052856	x
hier	no	0.9803736209869385	x
,	no	0.9999152421951294	x
so	no	0.9925438165664673	x
könntest	no	0.9962537288665771	x
Du	no	0.9958082437515259	x
selbst	no	0.9936655163764954	x
schauen	no	0.9589468240737915	x
;	no	0.999988317489624	x
aber	no	0.9678310751914978	x
jetzt	no	0.9831856489181519	x
hältst	no	0.9612441062927246	x
Du	no	0.9871320724487305	x
mich	no	0.9939868450164795	x
gewiß	no	0.9969651103019714	x
für	no	0.991591215133667	x
einen	no	0.9927231669425964	x
aberwitzigen	no	0.9931857585906982	x
Geisterseher	no	0.9912235736846924	x
.	no	0.6926679611206055	x
–	yes	0.9949638843536377	x
Kurz	no	0.9999657869338989	x
und	no	0.9987602233886719	x
gut	no	0.9993022680282593	x
,	no	0.9999871253967285	x
das	no	0.9074164628982544	x
Entsetzliche	no	0.9753877520561218	x
,	no	0.999288022518158	x
was	no	0.9267042279243469	x
mir	no	0.9393508434295654	x
geschah	no	0.6676706671714783	x
,	no	0.9969120025634766	x
dessen	no	0.9804543852806091	x
tödlichen	no	0.9837301969528198	x
Eindruck	no	0.9848011136054993	x
zu	no	0.9785807132720947	x
vermeiden	no	0.9239636659622192	x
ich	no	0.9636654853820801	x
mich	no	0.9501691460609436	x
vergebens	no	0.9510039687156677	x
bemühe	no	0.9260039925575256	x
,	no	0.999924898147583	x
besteht	no	0.8942130208015442	x
in	no	0.8674169182777405	x
nichts	no	0.769986629486084	x
anderm	no	0.5836374163627625	x
,	no	0.9989803433418274	x
als	no	0.9839773774147034	x
daß	no	0.9343717098236084	x
vor	no	0.942164957523346	x
einigen	no	0.9489542245864868	x
Tagen	no	0.505246102809906	x
,	no	0.9877116084098816	x
nämlich	no	0.9762917160987854	x
am	no	0.9818546772003174	x
30	no	0.9870103597640991	x
.	no	0.9870303273200989	x
Oktober	no	0.9639723896980286	x
,	no	0.9994879961013794	x
mittags	no	0.982948899269104	x
um	no	0.9885472059249878	x
zwölf	no	0.9849851131439209	x
Uhr	no	0.9497988224029541	x
,	no	0.9905977845191956	x
ein	no	0.995581328868866	x
Wetterglashändler	no	0.9856685400009155	x
in	no	0.9908159971237183	x
meine	no	0.9962375164031982	x
Stube	no	0.9932560920715332	x
