tok	sentstart	direct_conf	direct_pred
Der	yes	0.5462484955787659	direct
Sandmann	no	0.6944602131843567	direct
Nathanael	no	0.5832650661468506	direct
an	no	0.5627420544624329	direct
Lothar	no	0.7648887038230896	direct
Gewiß	no	0.9316144585609436	direct
seid	no	0.9502549171447754	direct
Ihr	no	0.9425238966941833	direct
alle	no	0.9336111545562744	direct
voll	no	0.9251261353492737	direct
Unruhe	no	0.9355435371398926	direct
,	no	0.8065286874771118	direct
daß	no	0.8991687893867493	direct
ich	no	0.9153546094894409	direct
so	no	0.9466593861579895	direct
lange	no	0.9643387198448181	direct
–	no	0.9606195092201233	direct
lange	no	0.9444646835327148	direct
nicht	no	0.9430157542228699	direct
geschrieben	no	0.9125858545303345	direct
.	no	0.8575525879859924	direct
Mutter	yes	0.9697045087814331	direct
zürnt	no	0.9380540251731873	direct
wohl	no	0.972307562828064	direct
,	no	0.8613619804382324	direct
und	no	0.9285277724266052	direct
Klara	no	0.9791774153709412	direct
mag	no	0.9265366196632385	direct
glauben	no	0.9186372756958008	direct
,	no	0.8407965898513794	direct
ich	no	0.934516191482544	direct
lebe	no	0.9567461609840393	direct
hier	no	0.9579069018363953	direct
in	no	0.9424299001693726	direct
Saus	no	0.9333555102348328	direct
und	no	0.942973256111145	direct
Braus	no	0.9522736668586731	direct
und	no	0.9610713124275208	direct
vergesse	no	0.9499309062957764	direct
mein	no	0.9360220432281494	direct
holdes	no	0.9375545382499695	direct
Engelsbild	no	0.9785140156745911	direct
,	no	0.9328742623329163	direct
so	no	0.9321821928024292	direct
tief	no	0.9274871349334717	direct
mir	no	0.9317348003387451	direct
in	no	0.9240233302116394	direct
Herz	no	0.9171725511550903	direct
und	no	0.9053282141685486	direct
Sinn	no	0.9083697199821472	direct
eingeprägt	no	0.921745240688324	direct
,	no	0.8842273950576782	direct
ganz	no	0.8911144137382507	direct
und	no	0.9050050973892212	direct
gar	no	0.9111757278442383	direct
.	no	0.9783586859703064	direct
–	yes	0.9819453358650208	direct
Dem	no	0.8450415134429932	direct
ist	no	0.5015341639518738	direct
aber	no	0.6179443597793579	direct
nicht	no	0.7251269221305847	direct
so	no	0.8574704527854919	direct
;	no	0.5343976616859436	direct
täglich	no	0.5614650249481201	direct
und	no	0.6265668272972107	direct
stündlich	no	0.7428874373435974	direct
gedenke	no	0.600662887096405	direct
ich	no	0.6104435920715332	direct
Eurer	no	0.5804683566093445	direct
aller	no	0.6381891965866089	direct
,	no	0.6437448263168335	direct
und	no	0.6306151747703552	direct
in	no	0.5089672803878784	direct
