tok	sentstart	freeIndirect_conf	freeIndirect_pred
Der	yes	0.7953535318374634	x
Sandmann	no	0.6828582882881165	x
Nathanael	no	0.9424143433570862	x
an	no	0.9438482522964478	x
Lothar	no	0.9912424087524414	x
Gewiß	no	0.9795605540275574	x
seid	no	0.9834854006767273	x
Ihr	no	0.9960066676139832	x
alle	no	0.9911380410194397	x
voll	no	0.9930566549301147	x
Unruhe	no	0.9929653406143188	x
,	no	0.9937718510627747	x
daß	no	0.9914277791976929	x
ich	no	0.9978370070457458	x
so	no	0.9878959655761719	x
lange	no	0.9886415600776672	x
–	no	0.9903644919395447	x
lange	no	0.9884456396102905	x
nicht	no	0.9874095320701599	x
geschrieben	no	0.98561030626297	x
.	no	0.9975273013114929	x
Mutter	yes	0.9654723405838013	x
zürnt	no	0.9734792709350586	x
wohl	no	0.9762890934944153	x
,	no	0.9780560731887817	x
und	no	0.9844605326652527	x
Klara	no	0.9914828538894653	x
mag	no	0.9933631420135498	x
glauben	no	0.9914930462837219	x
,	no	0.9908007979393005	x
ich	no	0.9989401698112488	x
lebe	no	0.9880383014678955	x
hier	no	0.9875097274780273	x
in	no	0.9876306653022766	x
Saus	no	0.988427460193634	x
und	no	0.9881993532180786	x
Braus	no	0.9872434735298157	x
und	no	0.9935218691825867	x
vergesse	no	0.9913033246994019	x
mein	no	0.9955847859382629	x
holdes	no	0.9899141788482666	x
Engelsbild	no	0.9899513125419617	x
,	no	0.9914249181747437	x
so	no	0.9906436800956726	x
tief	no	0.9901519417762756	x
mir	no	0.9958659410476685	x
in	no	0.9906257390975952	x
Herz	no	0.9907470941543579	x
und	no	0.9909695982933044	x
Sinn	no	0.991178572177887	x
eingeprägt	no	0.9914968609809875	x
,	no	0.9922367930412292	x
ganz	no	0.9912818670272827	x
und	no	0.9921194314956665	x
gar	no	0.9913848638534546	x
.	no	0.9972061514854431	x
–	yes	0.9834641814231873	x
Dem	no	0.9838321208953857	x
ist	no	0.9862205982208252	x
aber	no	0.9883803129196167	x
nicht	no	0.9884522557258606	x
so	no	0.9848442673683167	x
;	no	0.997593104839325	x
täglich	no	0.9855815768241882	x
und	no	0.9863705635070801	x
stündlich	no	0.9841963052749634	x
gedenke	no	0.9790205359458923	x
ich	no	0.9975382089614868	x
Eurer	no	0.9940513968467712	x
aller	no	0.9907073974609375	x
,	no	0.9941490888595581	x
und	no	0.99518883228302	x
in	no	0.9935553669929504	x
süßen	no	0.9925092458724976	x
