tok	sentstart	indirect_conf	indirect_pred
Der	yes	0.9960687160491943	x
Sandmann	no	0.9910655617713928	x
Nathanael	no	0.997000515460968	x
an	no	0.9996984004974365	x
Lothar	no	0.9793117046356201	x
Gewiß	no	0.999935507774353	x
seid	no	0.8574066758155823	x
Ihr	no	0.9972108006477356	x
alle	no	0.995305597782135	x
voll	no	0.9918333292007446	x
Unruhe	no	0.9707245230674744	x
,	no	0.9999901056289673	x
daß	no	0.8531503677368164	indirect
ich	no	0.67347651720047	indirect
so	no	0.5820814371109009	indirect
lange	no	0.5400063991546631	indirect
–	no	0.5359474420547485	indirect
lange	no	0.5143089890480042	indirect
nicht	no	0.5326860547065735	indirect
geschrieben	no	0.7428192496299744	indirect
.	no	0.9966063499450684	indirect
Mutter	yes	0.8512134552001953	x
zürnt	no	0.9229709506034851	x
wohl	no	0.8502280116081238	x
,	no	0.9997193217277527	x
und	no	0.9995818734169006	x
Klara	no	0.9946202039718628	x
mag	no	0.9997637867927551	x
glauben	no	0.9999951124191284	x
,	no	0.9999954700469971	x
ich	no	0.5015802383422852	indirect
lebe	no	0.9186049103736877	indirect
hier	no	0.9620072245597839	indirect
in	no	0.9773263335227966	indirect
Saus	no	0.9827949404716492	indirect
und	no	0.9879388809204102	indirect
Braus	no	0.9931342601776123	indirect
und	no	0.9840812683105469	indirect
vergesse	no	0.9877975583076477	indirect
mein	no	0.9920348525047302	indirect
holdes	no	0.9952476620674133	indirect
Engelsbild	no	0.9985394477844238	indirect
,	no	0.9382370114326477	indirect
so	no	0.9645071625709534	indirect
tief	no	0.9732059240341187	indirect
mir	no	0.9784072041511536	indirect
in	no	0.9833923578262329	indirect
Herz	no	0.9859370589256287	indirect
und	no	0.9885365962982178	indirect
Sinn	no	0.9916195869445801	indirect
eingeprägt	no	0.9963153004646301	indirect
,	no	0.9683084487915039	indirect
ganz	no	0.9783729910850525	indirect
und	no	0.9825756549835205	indirect
gar	no	0.9852627515792847	indirect
.	no	0.9972436428070068	indirect
–	yes	0.9714672565460205	x
Dem	no	0.9981720447540283	x
ist	no	0.9991636276245117	x
aber	no	0.9994041919708252	x
nicht	no	0.9967764019966125	x
so	no	0.9870153665542603	x
;	no	0.9999526739120483	x
täglich	no	0.9944827556610107	x
und	no	0.9938507080078125	x
stündlich	no	0.9920640587806702	x
gedenke	no	0.9931098222732544	x
ich	no	0.9953663349151611	x
Eurer	no	0.9947949051856995	x
aller	no	0.9540773630142212	x
,	no	0.9996849298477173	x
und	no	0.9995170831680298	x
in	no	0.9960721731185913	x
süßen	no	0.9952573180198669	x
Träumen	no	0.9969393014907837	x
geht	no	0.9987525939941406	x
meines	no	0.996275782585144	x
holden	no	0.9961991906166077	x
Klärchens	no	0.9967795014381409	x
freundliche	no	0.99639892578125	x
Gestalt	no	0.9960236549377441	x
vorüber	no	0.9944483041763306	x
und	no	0.9991864562034607	x
lächelt	no	0.9966712594032288	x
mich	no	0.997774064540863	x
mit	no	0.9974246025085449	x
ihren	no	0.9965309500694275	x
hellen	no	0.9963483214378357	x
Augen	no	0.9959220886230469	x
so	no	0.9967043995857239	x
anmutig	no	0.9955731630325317	x
an	no	0.9960850477218628	x
,	no	0.9998570680618286	x
wie	no	0.9952943921089172	x
sie	no	0.9943247437477112	x
wohl	no	0.9946814179420471	x
pflegte	no	0.9943610429763794	x
,	no	0.9988871216773987	x
wenn	no	0.9956862926483154	x
ich	no	0.9953049421310425	x
zu	no	0.9949550032615662	x
Euch	no	0.9954772591590881	x
hineintrat	no	0.9949151277542114	x
.	no	0.8774640560150146	x
–	yes	0.9936777949333191	x
Ach	no	0.9992678761482239	x
,	no	0.9999310970306396	x
wie	no	0.9972484707832336	x
vermochte	no	0.9977611303329468	x
ich	no	0.9990696310997009	x
denn	no	0.9966163039207458	x
Euch	no	0.9991056323051453	x
zu	no	0.9892404675483704	x
schreiben	no	0.9924997687339783	x
in	no	0.9920306205749512	x
der	no	0.9930447936058044	x
zerrissenen	no	0.9934924244880676	x
Stimmung	no	0.9937407374382019	x
des	no	0.9931932091712952	x
Geistes	no	0.9910452961921692	x
,	no	0.9980250597000122	x
die	no	0.9959259033203125	x
mir	no	0.9962913990020752	x
bisher	no	0.9965190887451172	x
alle	no	0.9963894486427307	x
Gedanken	no	0.996641993522644	x
verstörte	no	0.9961613416671753	x
!	no	0.9080629348754883	x
–	yes	0.9943806529045105	x
Etwas	no	0.9997193217277527	x
Entsetzliches	no	0.9968435764312744	x
ist	no	0.9985255599021912	x
in	no	0.9970160722732544	x
mein	no	0.9972099661827087	x
Leben	no	0.9972277283668518	x
getreten	no	0.996357262134552	x
!	no	0.9973865151405334	x
–	yes	0.9466317892074585	x
Dunkle	no	0.9981865286827087	x
Ahnungen	no	0.9990116357803345	x
eines	no	0.9951322674751282	x
