token sentstart
Der 0
Sandmann 4
Nathanael 13
an 23
Lothar 26
Gewiß 33
seid 40
Ihr 45
alle 49
voll 54
Unruhe 59
, 65
daß 67
ich 72
so 76
lange 79
� 85
� 87
lange 89
nicht 95
geschrieben 101
. 112
Mutter 114
zürnt 121
wohl 128
, 132
und 134
Klara 138
mag 144
glauben 148
, 155
ich 157
lebe 161
hier 166
in 171
Saus 174
und 179
Braus 183
und 189
vergesse 193
mein 202
holdes 207
Engelsbild 214
, 224
so 226
tief 229
mir 234
in 238
Herz 241
und 246
Sinn 250
eingeprägt 255
, 266
ganz 268
und 273
gar 277
. 280
� 282
� 284
Dem 286
ist 290
aber 294
nicht 299
so 305
; 307
täglich 309
und 318
stündlich 322
gedenke 333
ich 341
Eurer 345
aller 351
, 356
und 358
in 362
süßen 365
Träumen 373
geht 382
meines 387
holden 394
Klärchens 401
freundliche 412
Gestalt 424
vorüber 432
und 441
lächelt 445
mich 454
mit 459
ihren 463
hellen 469
Augen 476
so 482
anmutig 485
an 493
, 495
wie 497
sie 501
wohl 505
pflegte 510
, 517
wenn 519
ich 524
zu 528
Euch 531
hineintrat 536
. 546
� 548
� 550
Ach 552
, 555
wie 557
vermochte 561
ich 571
denn 575
Euch 580
zu 585
schreiben 588
in 598
der 601
zerrissenen 605
Stimmung 617
des 626
Geistes 630
, 637
die 639
mir 643
bisher 647
alle 654
Gedanken 659
verstörte 668
! 678
� 680
� 682
Etwas 684
Entsetzliches 690
ist 704
in 708
mein 711
Leben 716
getreten 722
! 730
� 732
� 734
Dunkle 736
Ahnungen 743
eines 752
gräßlichen 758
, 770
mir 772
drohenden 776
Geschicks 786
breiten 796
sich 804
wie 809
schwarze 813
Wolkenschatten 822
über 837
mich 843
aus 848
, 851
undurchdringlich 853
jedem 870
freundlichen 876
Sonnenstrahl 889
. 901
� 903
� 905
Nun 907
soll 911
ich 916
Dir 920
sagen 924
, 929
was 931
mir 935
widerfuhr 939
. 948
Ich 950
muß 954
es 959
, 961
das 963
sehe 967
ich 972
ein 976
, 979
aber 981
nur 986
es 990
denkend 993
, 1000
lacht 1002
es 1008
wie 1011
toll 1015
aus 1020
mir 1024
heraus 1028
. 1034
� 1036
� 1038
Ach 1040
mein 1044
herzlieber 1049
Lothar 1060
! 1066
wie 1068
fange 1072
ich 1078
es 1082
denn 1085
an 1090
, 1092
Dich 1094
nur 1099
einigermaßen 1103
empfinden 1117
zu 1127
lassen 1130
, 1136
daß 1138
das 1143
, 1146
was 1148
mir 1152
vor 1156
einigen 1160
Tagen 1168
geschah 1174
, 1181
denn 1183
wirklich 1188
mein 1197
Leben 1202
so 1208
feindlich 1211
zerstören 1221
konnte 1232
! 1238
Wärst 1240
Du 1247
nur 1250
hier 1254
, 1258
so 1260
könntest 1263
Du 1273
selbst 1276
schauen 1283
; 1290
aber 1292
jetzt 1297
hältst 1303
Du 1311
mich 1314
gewiß 1319
für 1326
einen 1331
aberwitzigen 1337
Geisterseher 1350
. 1362
� 1364
� 1366
Kurz 1368
und 1373
gut 1377
, 1380
das 1382
Entsetzliche 1386
, 1398
was 1400
mir 1404
geschah 1408
, 1415
dessen 1417
tödlichen 1424
Eindruck 1435
zu 1444
vermeiden 1447
ich 1457
mich 1461
vergebens 1466
bemühe 1476
, 1483
besteht 1485
in 1493
nichts 1496
anderm 1503
, 1509
als 1511
daß 1515
vor 1520
einigen 1524
Tagen 1532
, 1537
nämlich 1539
am 1548
30. 1551
Oktober 1555
, 1562
mittags 1564
um 1572
zwölf 1575
Uhr 1582
, 1585
ein 1587
Wetterglashändler 1591
in 1610
meine 1613
Stube 1619
trat 1625
und 1630
mir 1634
seine 1638
Ware 1644
anbot 1649
. 1654
Ich 1656
kaufte 1660
nichts 1667
und 1674
drohte 1678
, 1684
ihn 1686
die 1690
Treppe 1694
herabzuwerfen 1701
, 1714
worauf 1716
er 1723
aber 1726
von 1731
selbst 1735
fortging 1742
. 1750

 1752
Du 1753
ahnest 1756
, 1762
daß 1764
nur 1769
ganz 1773
eigne 1778
, 1783
tief 1785
in 1790
mein 1793
Leben 1798
eingreifende 1804
Beziehungen 1817
diesem 1829
Vorfall 1836
Bedeutung 1844
geben 1854
können 1860
, 1867
ja 1869
daß 1872
wohl 1877
die 1882
Person 1886
jenes 1893
unglückseligen 1899
Krämers 1915
gar 1924
feindlich 1928
auf 1938
mich 1942
wirken 1947
muß 1954
. 1958
So 1960
ist 1963
es 1967
in 1970
der 1973
Tat 1977
. 1980
Mit 1982
aller 1986
Kraft 1992
fasse 1998
ich 2004
mich 2008
zusammen 2013
, 2021
um 2023
ruhig 2026
und 2032
geduldig 2036
Dir 2045
aus 2049
meiner 2053
frühern 2060
Jugendzeit 2069
so 2080
viel 2083
zu 2088
erzählen 2091
, 2100
daß 2102
Deinem 2107
regen 2114
Sinn 2120
alles 2125
klar 2131
und 2136
deutlich 2140
in 2149
leuchtenden 2152
Bildern 2164
aufgehen 2172
wird 2181
. 2185
Indem 2187
ich 2193
anfangen 2197
will 2206
, 2210
höre 2212
ich 2218
Dich 2222
lachen 2227
und 2234
Klara 2238
sagen 2244
: 2249
„Das 2251
sind 2258
ja 2263
rechte 2266
Kindereien 2273
! 2283
“ 2284
� 2288
� 2290
Lacht 2292
, 2297
ich 2299
bitte 2303
Euch 2309
, 2313
lacht 2315
mich 2321
recht 2326
herzlich 2332
aus 2341
! 2344
� 2346
� 2348
ich 2350
bitt 2354
Euch 2359
sehr 2364
! 2368
� 2370
� 2372
Aber 2374
, 2378
Gott 2380
im 2385
Himmel 2388
! 2394
die 2396
Haare 2400
sträuben 2406
sich 2416
mir 2421
, 2424
und 2426
es 2430
ist 2433
, 2436
als 2438
flehe 2442
ich 2448
Euch 2452
an 2457
, 2459
mich 2461
auszulachen 2466
, 2477
in 2479
wahnsinniger 2482
Verzweiflung 2495
, 2507
wie 2509
Franz 2513
Moor 2519
den 2524
Daniel 2528
. 2534
� 2536
� 2538
Nun 2540
fort 2544
zur 2549
Sache 2553
! 2558

 2560
Außer 2561
dem 2568
Mittagsessen 2572
sahen 2585
wir 2591
, 2594
ich 2596
und 2600
mein 2604
Geschwister 2609
, 2620
tagüber 2622
den 2631
Vater 2635
wenig 2641
. 2646
Er 2648
mochte 2651
mit 2658
seinem 2662
Dienst 2669
viel 2676
beschäftigt 2681
sein 2694
. 2698
Nach 2700
dem 2705
Abendessen 2709
, 2719
das 2721
alter 2725
Sitte 2731
gemäß 2737
schon 2745
um 2751
sieben 2754
Uhr 2761
aufgetragen 2765
wurde 2777
, 2782
gingen 2784
wir 2791
alle 2795
, 2799
die 2801
Mutter 2805
mit 2812
uns 2816
, 2819
in 2821
des 2824
Vaters 2828
Arbeitszimmer 2835
und 2849
setzten 2853
uns 2861
um 2865
einen 2868
runden 2874
Tisch 2881
. 2886
Der 2888
Vater 2892
rauchte 2898
Tabak 2906
und 2912
trank 2916
ein 2922
großes 2926
Glas 2934
Bier 2939
dazu 2944
. 2948
Oft 2950
erzählte 2954
er 2964
uns 2967
viele 2971
wunderbare 2977
Geschichten 2988
und 3000
geriet 3004
darüber 3011
so 3020
in 3023
Eifer 3026
, 3031
daß 3033
ihm 3038
die 3042
Pfeife 3046
immer 3053
ausging 3059
, 3066
die 3068
ich 3072
, 3075
ihm 3077
brennend 3081
Papier 3090
hinhaltend 3097
, 3107
wieder 3109
anzünden 3116
mußte 3126
, 3132
welches 3134
mir 3142
denn 3146
ein 3151
Hauptspaß 3155
war 3166
. 3169
Oft 3171
gab 3175
er 3179
uns 3182
aber 3186
Bilderbücher 3191
in 3205
die 3208
Hände 3212
, 3218
saß 3220
stumm 3225
und 3231
starr 3235
in 3241
seinem 3244
Lehnstuhl 3251
und 3261
blies 3265
starke 3271
Dampfwolken 3278
von 3290
sich 3294
, 3298
daß 3300
wir 3305
alle 3309
wie 3314
im 3318
Nebel 3321
schwammen 3327
. 3336
An 3338
solchen 3341
Abenden 3349
war 3357
die 3361
Mutter 3365
sehr 3372
traurig 3377
, 3384
und 3386
kaum 3390
schlug 3395
die 3402
Uhr 3406
neun 3410
, 3414
so 3416
sprach 3419
sie 3426
: 3429
„Nun 3431
, 3437
Kinder 3439
! 3445
� 3447
� 3449
zu 3451
Bette 3454
! 3459
zu 3461
Bette 3464
! 3469
der 3471
Sandmann 3475
kommt 3484
, 3489
ich 3491
merk 3495
es 3500
schon.“ 3503
Wirklich 3513
hörte 3522
ich 3529
dann 3533
jedesmal 3538
etwas 3547
schweren 3553
langsamen 3562
Tritts 3572
die 3579
Treppe 3583
heraufpoltern 3590
; 3603
das 3605
mußte 3609
der 3616
Sandmann 3620
sein 3629
. 3633
Einmal 3635
war 3642
mir 3646
jenes 3650
dumpfe 3656
Treten 3663
und 3670
Poltern 3674
besonders 3682
graulich 3692
; 3700
ich 3702
frug 3706
die 3711
Mutter 3715
, 3721
indem 3723
sie 3729
uns 3733
fortführte 3737
: 3748
„Ei 3750
, 3755
Mama 3757
! 3761
wer 3763
ist 3767
denn 3771
der 3776
böse 3780
Sandmann 3786
, 3794
der 3796
uns 3800
immer 3804
von 3810
Papa 3814
forttreibt 3819
? 3829
� 3831
� 3833
wie 3835
sieht 3839
er 3845
denn 3848
aus 3853
? 3856
“ 3857
� 3861
� 3863
„Es 3865
gibt 3871
keinen 3876
Sandmann 3883
, 3891
mein 3893
liebes 3898
Kind“ 3905
, 3912
erwiderte 3914
die 3924
Mutter 3928
, 3934
„wenn 3936
ich 3944
sage 3948
, 3952
der 3954
Sandmann 3958
kommt 3967
, 3972
so 3974
will 3977
das 3982
nur 3986
heißen 3990
, 3997
ihr 3999
seid 4003
schläfrig 4008
und 4019
könnt 4023
die 4030
Augen 4034
nicht 4040
offen 4046
behalten 4052
, 4060
als 4062
hätte 4066
man 4073
euch 4077
Sand 4082
hineingestreut.“ 4087
� 4106
� 4108
Der 4110
Mutter 4114
Antwort 4121
befriedigte 4129
mich 4141
nicht 4146
, 4151
ja 4153
in 4156
meinem 4159
kindischen 4166
Gemüt 4177
entfaltete 4184
sich 4195
deutlich 4200
der 4209
Gedanke 4213
, 4220
daß 4222
die 4227
Mutter 4231
den 4238
Sandmann 4242
nur 4251
verleugne 4255
, 4264
damit 4266
wir 4272
uns 4276
vor 4280
ihm 4284
nicht 4288
fürchten 4294
sollten 4304
, 4311
ich 4313
hörte 4317
ihn 4324
ja 4328
immer 4331
die 4337
Treppe 4341
heraufkommen 4348
. 4360
Voll 4362
Neugierde 4367
, 4376
Näheres 4378
von 4387
diesem 4391
Sandmann 4398
und 4407
seiner 4411
Beziehung 4418
auf 4428
uns 4432
Kinder 4436
zu 4443
erfahren 4446
, 4454
frug 4456
ich 4461
endlich 4465
die 4473
alte 4477
Frau 4482
, 4486
die 4488
meine 4492
jüngste 4498
Schwester 4507
wartete 4517
: 4524
was 4526
denn 4530
das 4535
für 4539
ein 4544
Mann 4548
sei 4553
, 4556
der 4558
Sandmann 4562
. 4570
„Ei 4572
, 4577
Thanelchen“ 4579
, 4592
erwiderte 4594
diese 4604
, 4609
„weißt 4611
du 4621
das 4624
noch 4628
nicht 4633
? 4638
Das 4640
ist 4644
ein 4648
böser 4652
Mann 4659
, 4663
der 4665
kommt 4669
zu 4675
den 4678
Kindern 4682
, 4689
wenn 4691
sie 4696
nicht 4700
zu 4706
Bett 4709
gehen 4714
wollen 4720
, 4726
und 4728
wirft 4732
ihnen 4738
Hände 4744
voll 4751
Sand 4756
in 4761
die 4764
Augen 4768
, 4773
daß 4775
sie 4780
blutig 4784
zum 4791
Kopf 4795
herausspringen 4800
, 4814
die 4816
wirft 4820
er 4826
dann 4829
in 4834
den 4837
Sack 4841
und 4846
trägt 4850
sie 4857
in 4861
den 4864
Halbmond 4868
zur 4877
Atzung 4881
für 4888
seine 4893
Kinderchen 4899
; 4909
die 4911
sitzen 4915
dort 4922
im 4927
Nest 4930
und 4935
haben 4939
krumme 4945
Schnäbel 4952
, 4961
wie 4963
die 4967
Eulen 4971
, 4976
damit 4978
picken 4984
sie 4991
der 4995
unartigen 4999
Menschenkindlein 5009
Augen 5026
auf.“ 5032
� 5040
� 5042
Gräßlich 5044
malte 5055
sich 5061
nun 5066
im 5070
Innern 5073
mir 5080
das 5084
Bild 5088
des 5093
grausamen 5097
Sandmanns 5107
aus 5117
; 5120
sowie 5122
es 5128
abends 5131
die 5138
Treppe 5142
heraufpolterte 5149
, 5163
zitterte 5165
ich 5174
vor 5178
Angst 5182
und 5188
Entsetzen 5192
. 5201
Nichts 5203
als 5210
den 5214
unter 5218
Tränen 5224
hergestotterten 5232
Ruf 5248
: 5251
„Der 5253
Sandmann 5260
! 5268
der 5270
Sandmann 5274
! 5282
“ 5283
konnte 5287
die 5294
Mutter 5298
aus 5305
mir 5309
herausbringen 5313
. 5326
Ich 5328
lief 5332
darauf 5337
in 5344
das 5347
Schlafzimmer 5351
, 5363
und 5365
wohl 5369
die 5374
ganze 5378
Nacht 5384
über 5390
quälte 5396
mich 5404
die 5409
fürchterliche 5413
Erscheinung 5428
des 5440
Sandmanns 5444
. 5453
� 5455
� 5457
Schon 5459
alt 5465
genug 5469
war 5475
ich 5479
geworden 5483
, 5491
um 5493
einzusehen 5496
, 5506
daß 5508
das 5513
mit 5517
dem 5521
Sandmann 5525
und 5534
seinem 5538
Kindernest 5545
im 5556
Halbmonde 5559
, 5568
so 5570
wie 5573
es 5577
mir 5580
die 5584
Wartefrau 5588
erzählt 5598
hatte 5607
, 5612
wohl 5614
nicht 5619
ganz 5625
seine 5630
Richtigkeit 5636
haben 5648
könne 5654
; 5660
indessen 5662
blieb 5671
mir 5677
der 5681
Sandmann 5685
ein 5694
fürchterliches 5698
Gespenst 5714
, 5722
und 5724
Grauen 5728
� 5735
� 5737
Entsetzen 5739
