tok	sentstart	freeIndirect_conf	freeIndirect_pred
Der	yes	0.8702418208122253	x
Sandmann	no	0.9169584512710571	x
Nathanael	no	0.9328663945198059	x
an	no	0.9367927312850952	x
Lothar	no	0.9443367123603821	x
Gewiß	no	0.9634335041046143	x
seid	no	0.9658188223838806	x
Ihr	no	0.9707359671592712	x
alle	no	0.9743578433990479	x
voll	no	0.9763360619544983	x
Unruhe	no	0.981200635433197	x
,	no	0.9854021072387695	x
daß	no	0.9875654578208923	x
ich	no	0.9890586733818054	x
so	no	0.9892001152038574	x
lange	no	0.9894606471061707	x
–	no	0.9943901896476746	x
lange	no	0.99480801820755	x
nicht	no	0.9951371550559998	x
geschrieben	no	0.9954816102981567	x
.	no	0.9801208972930908	x
Mutter	yes	0.9996088147163391	x
zürnt	no	0.9991931319236755	x
wohl	no	0.9986910223960876	x
,	no	0.9987226128578186	x
und	no	0.9987210631370544	x
Klara	no	0.9990200996398926	x
mag	no	0.9988125562667847	x
glauben	no	0.9986139535903931	x
,	no	0.9985716342926025	x
ich	no	0.9985300302505493	x
lebe	no	0.9983481168746948	x
hier	no	0.9983637928962708	x
in	no	0.9984122514724731	x
Saus	no	0.9985162615776062	x
und	no	0.9986317753791809	x
Braus	no	0.9986649751663208	x
und	no	0.9986675977706909	x
vergesse	no	0.9983508586883545	x
mein	no	0.9983111619949341	x
holdes	no	0.9982183575630188	x
Engelsbild	no	0.9982978701591492	x
,	no	0.9984196424484253	x
so	no	0.9982298016548157	x
tief	no	0.9982787370681763	x
mir	no	0.9983030557632446	x
in	no	0.9982948899269104	x
Herz	no	0.9983298182487488	x
und	no	0.9983417987823486	x
Sinn	no	0.9984203577041626	x
eingeprägt	no	0.9987159967422485	x
,	no	0.9986988306045532	x
ganz	no	0.998473584651947	x
und	no	0.9985295534133911	x
gar	no	0.9985526204109192	x
.	no	0.9993558526039124	x
–	yes	0.5395672917366028	x
Dem	no	0.9477227926254272	x
ist	no	0.9673104286193848	x
aber	no	0.974018394947052	x
nicht	no	0.9789682030677795	x
so	no	0.9807776808738708	x
;	no	0.9920933842658997	x
täglich	no	0.9954575300216675	x
und	no	0.9958645105361938	x
stündlich	no	0.9980664849281311	x
gedenke	no	0.9983086585998535	x
ich	no	0.9983370304107666	x
Eurer	no	0.9988381266593933	x
aller	no	0.9987483024597168	x
,	no	0.9987693428993225	x
und	no	0.99871826171875	x
in	no	0.9986757636070251	x
süßen	no	0.9984596967697144	x
Träumen	no	0.998608410358429	x
geht	no	0.9986918568611145	x
meines	no	0.9987460374832153	x
holden	no	0.9986006617546082	x
Klärchens	no	0.9985442161560059	x
freundliche	no	0.9984684586524963	x
Gestalt	no	0.9986531734466553	x
vorüber	no	0.9987480640411377	x
und	no	0.9987860321998596	x
lächelt	no	0.9987678527832031	x
mich	no	0.998613715171814	x
mit	no	0.9984062314033508	x
ihren	no	0.9983652234077454	x
hellen	no	0.9982837438583374	x
Augen	no	0.9983580708503723	x
so	no	0.9983345866203308	x
anmutig	no	0.9984910488128662	x
an	no	0.998704195022583	x
,	no	0.9988027811050415	x
wie	no	0.9985631108283997	x
sie	no	0.9985226988792419	x
wohl	no	0.9987785220146179	x
pflegte	no	0.998842716217041	x
,	no	0.9988442659378052	x
wenn	no	0.9986248016357422	x
ich	no	0.9986721277236938	x
zu	no	0.9985290765762329	x
Euch	no	0.9987620115280151	x
hineintrat	no	0.998917818069458	x
.	no	0.9998923540115356	x
–	yes	0.9992875456809998	x
Ach	no	0.9836016297340393	x
,	no	0.9791951179504395	x
wie	no	0.9760520458221436	x
vermochte	no	0.9737727046012878	x
ich	no	0.9776200652122498	x
denn	no	0.9827107787132263	x
Euch	no	0.9866684675216675	x
zu	no	0.9881436228752136	x
schreiben	no	0.9920507073402405	x
in	no	0.9940802454948425	x
der	no	0.9948963522911072	x
zerrissenen	no	0.9952415227890015	x
Stimmung	no	0.9967980980873108	x
des	no	0.9971411228179932	x
Geistes	no	0.9980372786521912	x
,	no	0.99834144115448	x
die	no	0.9983748197555542	x
mir	no	0.9985737800598145	x
bisher	no	0.9987688660621643	x
alle	no	0.9987768530845642	x
Gedanken	no	0.9985283613204956	x
verstörte	no	0.9983198046684265	x
!	no	0.9973879456520081	x
–	yes	0.9998595714569092	x
Etwas	no	0.9955731630325317	x
Entsetzliches	no	0.9959665536880493	x
ist	no	0.997007429599762	x
in	no	0.9974138140678406	x
mein	no	0.9974454641342163	x
Leben	no	0.9974116683006287	x
getreten	no	0.9975900650024414	x
!	no	0.9975482821464539	x
–	yes	0.6833494305610657	x
Dunkle	no	0.8916869163513184	x
Ahnungen	no	0.9581106901168823	x
eines	no	0.9666652679443359	x
gräßlichen	no	0.9694278240203857	x
,	no	0.9733267426490784	x
mir	no	0.9766393303871155	x
drohenden	no	0.9795975089073181	x
Geschicks	no	0.9871972799301147	x
breiten	no	0.989682674407959	x
sich	no	0.9907321333885193	x
wie	no	0.9914305806159973	x
schwarze	no	0.9917457699775696	x
Wolkenschatten	no	0.9937060475349426	x
über	no	0.9945317506790161	x
mich	no	0.9948275685310364	x
aus	no	0.9960434436798096	x
,	no	0.996857762336731	x
undurchdringlich	no	0.9975661039352417	x
jedem	no	0.9975389242172241	x
freundlichen	no	0.9976274371147156	x
Sonnenstrahl	no	0.9982851147651672	x
.	no	0.9982813596725464	x
–	yes	0.9987877011299133	x
Nun	no	0.9988077878952026	x
soll	no	0.9987958669662476	x
ich	no	0.9987452030181885	x
Dir	no	0.9987819790840149	x
sagen	no	0.9984824061393738	x
,	no	0.9984993934631348	x
was	no	0.9984448552131653	x
mir	no	0.9985686540603638	x
widerfuhr	no	0.9985964894294739	x
