tok	sentstart	reported_conf	reported_pred
Der	yes	0.6634451150894165	x
Sandmann	no	0.6427258253097534	x
Nathanael	no	0.5499134659767151	x
an	no	0.6880422234535217	x
Lothar	no	0.8372094035148621	x
Gewiß	no	0.9404527544975281	x
seid	no	0.9232640266418457	x
Ihr	no	0.8958374261856079	x
alle	no	0.8853155970573425	x
voll	no	0.9297752380371094	x
Unruhe	no	0.6818503141403198	x
,	no	0.9998927116394043	x
daß	no	0.7699968814849854	reported
ich	no	0.6567938923835754	reported
so	no	0.5199176669120789	reported
lange	no	0.5182048678398132	reported
–	no	0.5470361709594727	reported
lange	no	0.5023748278617859	reported
nicht	no	0.5583276152610779	reported
geschrieben	no	0.9069568514823914	reported
.	no	0.9535417556762695	reported
Mutter	yes	0.5549666881561279	reported
zürnt	no	0.9024072289466858	reported
wohl	no	0.9965808987617493	reported
,	no	0.999276340007782	x
und	no	0.8027946949005127	x
Klara	no	0.6082895994186401	x
mag	no	0.6315450668334961	x
glauben	no	0.64408940076828	x
,	no	0.9996721744537354	x
ich	no	0.8624387383460999	x
lebe	no	0.9152162671089172	x
hier	no	0.890535295009613	x
in	no	0.8972599506378174	x
Saus	no	0.8307287693023682	x
und	no	0.7914547324180603	x
Braus	no	0.7090383768081665	x
und	no	0.9997106194496155	x
vergesse	no	0.5627715587615967	reported
mein	no	0.6788541078567505	reported
holdes	no	0.7803240418434143	reported
Engelsbild	no	0.9653661251068115	reported
,	no	0.6305286288261414	reported
so	no	0.6088612079620361	reported
tief	no	0.6876339316368103	reported
mir	no	0.7474313974380493	reported
in	no	0.7941321730613708	reported
Herz	no	0.8380827307701111	reported
und	no	0.8629558086395264	reported
Sinn	no	0.9098052978515625	reported
eingeprägt	no	0.9839852452278137	reported
,	no	0.6391032338142395	reported
ganz	no	0.7457180619239807	reported
und	no	0.7888889312744141	reported
gar	no	0.8004804253578186	reported
.	no	0.9071099162101746	reported
–	yes	0.9998544454574585	x
Dem	no	0.9011123180389404	x
ist	no	0.9673900008201599	x
aber	no	0.9509342908859253	x
nicht	no	0.9675111174583435	x
so	no	0.8052593469619751	x
;	no	0.9999876022338867	x
täglich	no	0.8453817963600159	x
und	no	0.8583885431289673	x
stündlich	no	0.8343278169631958	x
gedenke	no	0.7776675224304199	x
ich	no	0.7769219875335693	x
Eurer	no	0.6134511828422546	x
aller	no	0.981799304485321	x
,	no	0.999422550201416	x
und	no	0.8990116715431213	x
in	no	0.8931419253349304	x
süßen	no	0.878626823425293	x
Träumen	no	0.5054919123649597	x
geht	no	0.9218383431434631	x
meines	no	0.8852514028549194	x
holden	no	0.8859085440635681	x
Klärchens	no	0.8754038214683533	x
freundliche	no	0.8760673999786377	x
Gestalt	no	0.8795391321182251	x
vorüber	no	0.8159080147743225	x
und	no	0.9995843768119812	x
lächelt	no	0.9429711103439331	x
mich	no	0.8984880447387695	x
mit	no	0.94466233253479	x
ihren	no	0.9381018280982971	x
hellen	no	0.9341676831245422	x
Augen	no	0.9550018310546875	x
so	no	0.9552004933357239	x
anmutig	no	0.9389711618423462	x
an	no	0.8191335797309875	x
,	no	0.9976086616516113	x
wie	no	0.9222428798675537	x
sie	no	0.9136016368865967	x
wohl	no	0.8866473436355591	x
pflegte	no	0.5001352429389954	x
,	no	0.9904402494430542	x
wenn	no	0.9345759749412537	x
ich	no	0.9049686789512634	x
zu	no	0.9166834950447083	x
Euch	no	0.8711125254631042	x
hineintrat	no	0.8898157477378845	x
.	no	0.5012899041175842	x
–	yes	0.9999465942382812	x
Ach	no	0.8694037199020386	x
,	no	0.9996216297149658	x
wie	no	0.6895126104354858	reported
vermochte	no	0.6584240198135376	reported
ich	no	0.5514755845069885	reported
denn	no	0.5735177397727966	reported
Euch	no	0.7262580990791321	reported
zu	no	0.7143974900245667	reported
schreiben	no	0.9966314435005188	reported
in	no	0.8753408193588257	reported
der	no	0.6787197589874268	reported
zerrissenen	no	0.5641262531280518	reported
Stimmung	no	0.5945658087730408	reported
des	no	0.6470944285392761	reported
Geistes	no	0.9324821829795837	reported
,	no	0.9779372811317444	reported
die	no	0.8370943069458008	reported
mir	no	0.8037927746772766	reported
bisher	no	0.8084869980812073	reported
alle	no	0.736799955368042	reported
Gedanken	no	0.9842978119850159	reported
verstörte	no	0.9731945395469666	reported
!	no	0.9993898868560791	reported
–	yes	0.9847604632377625	x
Etwas	no	0.9874966144561768	x
Entsetzliches	no	0.9902505874633789	x
ist	no	0.9955405592918396	x
in	no	0.9907604455947876	x
mein	no	0.988075852394104	x
Leben	no	0.9891989827156067	x
getreten	no	0.992872953414917	x
!	no	0.9985585808753967	x
–	yes	0.9999390840530396	x
Dunkle	no	0.7622843980789185	x
Ahnungen	no	0.6527110934257507	x
eines	no	0.8084953427314758	x
gräßlichen	no	0.9314217567443848	x
,	no	0.7071009278297424	x
mir	no	0.7572645545005798	x
drohenden	no	0.806684136390686	x
Geschicks	no	0.925178587436676	x
breiten	no	0.6662308573722839	x
sich	no	0.5928430557250977	x
wie	no	0.7455872893333435	x
schwarze	no	0.7550763487815857	x
Wolkenschatten	no	0.7602217793464661	x
über	no	0.8232463002204895	x
mich	no	0.7490977048873901	x
aus	no	0.5189584493637085	x
,	no	0.997783362865448	x
undurchdringlich	no	0.9333168268203735	x
jedem	no	0.9320572018623352	x
freundlichen	no	0.920719563961029	x
Sonnenstrahl	no	0.9145175814628601	x
.	no	0.8441136479377747	x
–	yes	0.9999951124191284	x
Nun	no	0.5578873157501221	x
soll	no	0.5568084120750427	x
ich	no	0.6359046697616577	x
Dir	no	0.8440751433372498	x
sagen	no	0.9304664134979248	x
,	no	0.782195508480072	x
was	no	0.7035006284713745	x
mir	no	0.764624297618866	x
widerfuhr	no	0.790962278842926	x
.	no	0.9715116024017334	x
Ich	yes	0.6899300813674927	x
muß	no	0.6841908693313599	x
es	no	0.9906873106956482	x
,	no	0.9739307761192322	x
das	no	0.5977494120597839	x
sehe	no	0.5972017645835876	x
ich	no	0.6288183927536011	x
ein	no	0.9797781705856323	x
,	no	0.9997830986976624	x
aber	no	0.6459116339683533	reported
nur	no	0.5261001586914062	reported
es	no	0.8973149657249451	reported
denkend	no	0.9997993111610413	reported
,	no	0.9713343977928162	x
lacht	no	0.9655107855796814	x
es	no	0.9615880846977234	x
wie	no	0.9766263365745544	x
toll	no	0.9797532558441162	x
aus	no	0.9843705296516418	x
mir	no	0.9791828989982605	x
